managementFees,sink_status,aircondition_status,shoebox_status,washingMachine_status,refrigerator_status,closet_status,gasStoves_status,bed_status,cafe_status,detail_info,convenienceStore_status,laundry_status,supermarket_status,busStation_status,subway_status,realEstateAgency_status
15000,,,,,,,,,True,"2층 방2 주방 욕실 
베란다 있습니다 
공실이며 언제든지 입주가능 합니다 
중랑천공원 전통시장 가까이 있습니다 
지하철은 군자역 중곡역 이용합니다 
전세13000만원 가능합니다 
보증금2천/55 ,3천/50 가능합니다 
반려동물은 불가입니다 ",True,,,,True,
,,,,,,,,,True,"반지층 방2 주방 욕실 
도배 장판 교체했습니다 
창문하이샷시 교체했습니다 
문짝 문틀 교체했습니다 
바닥습기 없습니다 
중랑천공원 전통시장 가까이 있습니다 
지하철은 군자역 중곡역 이용합니다 
반려동물은 불가입니다 ",True,,,,True,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,True,"옥탑 분리형 원룸 
세탁기 에어컨  옵션입니다 
상태깨끗 합니다 
주방 변기 분리 커텐 있습니다 
중랑천공원 재래시장 가까이 있습니다 
옥상 사용가능합니다 
지하철은 군자역 이용합니다 ",True,,,,True,
,,,,,,,,,True,"1.5층 방2 주방 욕실 
상태깨끗 합니다 
입주일은 협의이며 빨리도 가능합니다 
안방크며 주방공간 좋습니다 
전통시장 중랑천공원 가까이 있습니다 
지하철은 군자역 이용합니다 
전세15500만원 가능합니다 
LH,SH 가능합니다 ",True,,,,True,
40000,,,,,,,,,True,"분리형 풀옵션 원룸 입니다 
군자역 이용하기 편리하며
6월19일 이후 가능합니다
주차는 불가입니다.
사진은  같은 라인 호실로 구조와
시설물 동일합니다.",True,,,,True,
10000,,,,,,,,,True,"4층 전용30평 방3 큰거실 욕실2
주차가능 합니다 
도배 장판 교체했습니다 
공실이며 언제든지 입주가능 합니다 
가격대비 공간 아주좋아요 
중랑천공원 재래시장 가까이 있습니다 
지하철은 중곡역 이용합니다 
보증금 1억5천에 100 만원도 가능합니다",True,,,,True,
50000,True,,,True,True,,True,,True,"* 계약후 한달 반 ~ 두달후 입주 가능한 매물입니다.(협의)

▶ 오픈형 원룸, 방1, 화장실1, 세탁실1
▶ 마트, 시장, 은행, 식당 등 생활권 양호
▶ 초등학교 근방이라 청소년 유해업소 없음
▶ 반려동물 x",True,,,,True,
30000,,,,,,,,,True,"2002년식 다세대 건물 1층
실사용면적 약 35평
방4+거실+주방+화장실2+베란다3+테라스
집이 전체적으로 채광이 좋습니다
주차가능
대출가능
애완동물은 힘들어요

현재 공실로 바로 입주 가능",True,,,,True,
15000,,,,,,,,,True,"주차 가능한 다가구주택 2룸
현재 공실 즉시입주
화장실 싱크대 고급자재 사용 등
집주인분께서 신경써서 리모델링한
새집입니다.",True,,,,True,
20000,,,,,,,,,True,"- 중곡역 도보 5분
- 수리하여 주인이 거주중 깨끗함",True,,,,True,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
100000,,,,,,,,,True,날짜협의가능,True,,,,True,
,,,True,,,,,,True,"◈ 확인 사항 ◈

▷반려 동물 X


◈ 대중교통 정보 ◈

▷군자역 도보 약 7분 거리의 
  생활,교통 편리한 주택가 다가구 2룸 입니다

▷5호선 7호선 군자역 500m 도보 약 7분
   7호선 중곡역 580m 도보 약 8분
   버스 정류장 60m 도보 약 0분


◈ 구성과 구조적 특징 ◈

▷방 2개, 거실 겸 주방, 화장실 1개 구성 입니다
    
▷방1 현장 실측 3.62m x 3.16m (남동향)     
 방2 현장 실측 2.69m x 2.51m (남서향) 
 거실 및 주방 현장 실측 4.3m x 2.88m (남서향)     
     

◈ 도로 교통 및 학군 정보◈

▷강남 방향으로는 동일로 진입 후
   영동대교 까지 약 4km (차량 이용 약 12분)
   강동 방향으로는 천호대로 진입 후
   천호대교 까지 약 5km (차량 이용 약 13분) 입니다

▷약 500m 거리에 중마초, 중광초,
   약 1km 거리에 대원 외고, 대원고, 대원 여고, 용곡 초중학교가 있습니다 


◈ 반경 내 관공서 및 주요 시설 정보 ◈

▷0~200m 거리 (도보 약 2분)
-버스 정류장, 재래 시장, 주민센터, 공영 주차장, 구립 어린이집

▷200~400m 거리 (도보 약 5분)
-공영 주차장, 우체국, 마을 공원, 어린이 공원, 파출소

▷400~700m 거리 (도보 약 10분)
-군자역, 중곡역, 중랑천 공원, 문화 체육센터(수영장 포함), 보건 복지 행정 타운, 광진구 육아 종합 지원센터, 도서관


♥다른 궁금한 사항 있으시면 언제든 편하게 문의 주세요♥

♥차량 픽업 원하시면 말씀해 주세요♥
  (군자역 1번 출구, 중곡역 2,3번 출구)",True,,,,True,
70000,,,True,,True,,,,True,"✔ 다른 층, 다른 호실 다수 보유
✔ 분양도 가능

✔ 중곡역 도보 5분으로 초 역세권
✔ 조용한 안심주택가 위치

✔ 옵션 : 시스템에어컨, 빌트인 냉장고, 펜트리, 중문, 인덕션
✔ 고급스럽고 깔끔한 인테리어
✔ 넉넉한 주차 공간
✔ 대형 거실과 대형 투룸",True,,,,True,
50000,,,True,,,,True,,True,"Check Point 
- 위치 : 5,7호선 군자역 도보7분 거리
- 구조 : 방(2),화장실(1)
- 주변환경 :  중랑천길 산책로 및 자전거전용도로 도보 10분
                    중곡제일골목시장 도보 5분 
                   군자역 주변에 다양한 맛집과 메가박스, 어린이대공원이 있어 편리한 생활환경       
 - 전세자금대출 불가능
 - 반려동물 불가능

상세정보
군자역도보7분. 도로변에 접한 2층 투룸입니다. 방사이즈 각각 3.3m*3.1m, 3m*2m정도로
신혼부부, 형제자매등 이용하시기에 좋은 구조 사이즈입니다.
도배교체해주시며, 날자는 협의 가능합니다.(계약 후 1달 보름정도)
평일 방문은 오후5시 이후 가능합니다.
1억5천/30도 가능합니다.",True,,,,True,
,,,,,,,,,,,,,,,,
